Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.632143635148359,-1.1429847164895004,-1.6327131978275604,-1.2093376957582462,-1.9804130311111692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6008309484916873,-2.294733715036563,-1.1545547598261214,-0.6002875356266343,1.0954687776365515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.23570777309279,-1.4528555632809819,-0.9845293627431757,-0.6387735688029851,2.3991538758175572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.18687870316023,-1.7396102509616096,-1.8245957805113973,-0.30142678357036456,-1.4734348890479099
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.218721358582161,0.6310413694028258,-3.4309325615348105,-0.7878448875740157,1.860038560874814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.928786238114803,-0.0383882547371141,0.7256164518506193,-1.791899904355179,-0.7765225081290651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.102653967146726,0.34368382124075403,-2.503989015992172,-0.5832883160516529,-0.3786733571541562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.930905811772806,-1.6935404242500922,3.483037160270323,-0.5256875177356038,-0.9656890416832851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1999999433618194,0.42594660018052927,3.4715758387047355,-1.9741117121400793,2.0758376888801346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8271440747079746,-0.7989064399790156,0.564086941802572,-0.8990019286031716,-0.24109851269103963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.086062250845508,-2.748408485008056,-0.24093247205064444,1.2370440425777136,-2.5267938185314858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9044430468968221,-0.7149390472201461,-1.2109233011266405,0.9955562169050747,3.496649127658674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.905535358898182,0.23786812607819116,-0.5050441836259312,-0.1428415423756594,2.6425486172686186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8023473670101852,-1.531000815899117,-0.13739089416435313,-0.1537276443852127,0.03804662448748865
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.820796542728959,-0.23925540672607018,-0.8779250789640304,-1.2561439583266032,-1.959256243485644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.161245617149421,-0.6110799369873614,-1.8477910803289266,-0.27645572019097775,-1.7444908073234167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.203212459958385,0.5000802609888657,-1.3964023089974382,-0.5360740914417325,-1.7855669650121397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.348537641669992,-0.8432798240535792,1.5947703298072426,-0.35032513124539755,0.6472299207322402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.036629967493033,-0.22082225777553624,2.2780277620936524,0.4410736082010477,-0.2564488896281544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8893377415420527,0.06884164975173815,2.8077626037479555,0.3205959941155175,2.2146141121301737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56387461997367,-1.657246517358447,0.5817287380149814,2.4339967596422407,1.5160379525236818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1844295014315446,0.4971165537727964,-2.723184478019871,2.0661341115622585,3.014558196031895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3389528566081044,0.29715638667342453,-0.14640581493228932,0.08477228014093102,0.15047266453133432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9348024950492815,-0.04522390083157104,1.4285559728451838,-0.2068867799653913,0.7947226998602187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9223398560729628,-0.3473292228022418,-1.1526790098975774,2.0881035039910154,-2.2624093555927134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9941899509749423,0.6002298314578822,0.40075228857817524,0.7639299991919696,2.1150513399545052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.444710573813177,1.1438691246322361,1.0494082301325565,0.8128332101450328,1.7524056216845925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.21881695484771,-0.28684194926709466,-1.3965827571642095,0.9422081157259546,-2.1011289746844772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.877523702763987,3.5862673164713845,-0.20553450078486427,-1.3460584362888626,-1.8974776037042993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.171443096859844,-1.6597571633161394,-0.03821956582842596,3.9834724884935344,-0.2309951178153433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.804137052611125,2.023372528086457,-1.7747120584528286,1.1930888192454832,0.782757014991648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.692004385432686,3.200342957748009,2.532008011498335,-0.04942633635500585,1.2019244297811762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3482854466634224,0.06809604675936512,-0.8041878534135464,2.4027484078976915,-0.7431171149676322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1426151879035584,0.24289475133289237,-0.8281817638529091,1.0007261767680085,-1.0778690259596917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28691672854053357,1.7066593951896563,0.24866132530056448,0.9698197486149116,-0.3690552025727771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3868708452657605,-0.3848917718765481,-0.724895817896652,1.703545762096804,-1.2562811772562321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6089181838702835,1.2553114902256775,0.6773085097931146,1.3795287159002592,-0.5846708600604648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2576602213779835,1.5795533613654262,1.1936871121579373,1.2199909362612755,-0.3269324203764554
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.264907306094414,11.489074520878326,-4.032701394892471,-2.978513105417277,0.6333991254706762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5110869602327295,1.811545177645505,-1.0560154080707624,1.2104109258324196,-0.8276041207923055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20990233747149656,1.176505970648625,2.5699055641761475,1.499026232062818,-0.15348798613068634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7612318308342605,1.624429215312657,0.3422727873635024,1.9515118295809168,-1.6919709129972866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.232263674913631,-0.06092751228702273,-1.2812707893561581,3.176846924042649,2.1503371910828113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000719701055338,2.5297157831200727,3.0298622153112844,1.3143929065911784,0.6232849000788059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.402226955963536,1.77317163502914,0.05542620526706435,0.655829275939989,-1.834552349491165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.438080309324295,4.093596553964323,5.5278357637516295,0.48755410718109293,-0.539131243094937
